retrieved csv successfully!
Size of the data list: 125748
max_out_degree: 499
max_in_degree: 499
key: 94981, value_count: 1
key: 30901, value_count: 1
key: 97710, value_count: 1
key: 124508, value_count: 1
key: 72049, value_count: 1
key: 81704, value_count: 1
key: 12249, value_count: 1
key: 13003, value_count: 1
key: 14519, value_count: 1
key: 81047, value_count: 1
key: 90148, value_count: 1
key: 115116, value_count: 1
key: 8589, value_count: 1
key: 113753, value_count: 1
key: 75655, value_count: 1
key: 9283, value_count: 1
key: 93425, value_count: 1
key: 104269, value_count: 1
key: 15976, value_count: 1
key: 88688, value_count: 1
key: 31484, value_count: 1
key: 33802, value_count: 1
key: 31694, value_count: 1
key: 41212, value_count: 1
key: 12062, value_count: 1
key: 90256, value_count: 1
key: 28084, value_count: 1
key: 52413, value_count: 1
key: 87649, value_count: 1
key: 104422, value_count: 1
key: 49599, value_count: 1
key: 50101, value_count: 1
key: 31919, value_count: 1
key: 47543, value_count: 1
key: 101379, value_count: 1
key: 20916, value_count: 1
key: 9143, value_count: 1
key: 81032, value_count: 1
key: 124776, value_count: 1
key: 91466, value_count: 1
key: 20896, value_count: 1
key: 18106, value_count: 1
key: 13649, value_count: 1
key: 18433, value_count: 1
key: 50858, value_count: 1
key: 56031, value_count: 1
key: 20835, value_count: 1
key: 85187, value_count: 1
key: 30640, value_count: 1
key: 51543, value_count: 1
key: 59369, value_count: 1
key: 39745, value_count: 1
key: 21859, value_count: 1
key: 120282, value_count: 1
key: 96467, value_count: 1
key: 79198, value_count: 1
key: 114324, value_count: 1
key: 115750, value_count: 1
key: 88280, value_count: 1
key: 57011, value_count: 1
key: 37341, value_count: 1
key: 57318, value_count: 1
key: 61234, value_count: 1
key: 84435, value_count: 1
key: 68179, value_count: 1
key: 28972, value_count: 1
key: 94754, value_count: 1
key: 106697, value_count: 1
key: 114579, value_count: 1
key: 19055, value_count: 1
key: 120037, value_count: 1
key: 113159, value_count: 1
key: 23004, value_count: 1
key: 77163, value_count: 1
key: 121114, value_count: 1
key: 1818, value_count: 1
key: 12586, value_count: 1
key: 54800, value_count: 1
key: 52157, value_count: 1
key: 20538, value_count: 1
key: 52397, value_count: 1
key: 96484, value_count: 1
key: 40389, value_count: 1
key: 51351, value_count: 1
key: 56681, value_count: 1
key: 23441, value_count: 1
key: 58749, value_count: 1
key: 107590, value_count: 1
key: 33618, value_count: 1
key: 113657, value_count: 1
key: 114416, value_count: 1
key: 60842, value_count: 1
key: 81052, value_count: 1
key: 20396, value_count: 1
key: 112907, value_count: 1
key: 116891, value_count: 1
key: 121019, value_count: 1
key: 250, value_count: 1
key: 34553, value_count: 1
key: 38020, value_count: 1
key: 68712, value_count: 1
key: 14996, value_count: 1
key: 78679, value_count: 1
key: 101348, value_count: 1
key: 69238, value_count: 1
key: 17947, value_count: 1
key: 7991, value_count: 1
key: 45329, value_count: 1
key: 27739, value_count: 1
key: 76036, value_count: 1
key: 79758, value_count: 1
key: 9265, value_count: 1
key: 24620, value_count: 1
key: 92805, value_count: 1
key: 102644, value_count: 1
key: 30994, value_count: 1
key: 30848, value_count: 1
key: 58076, value_count: 1
key: 56474, value_count: 1
key: 116521, value_count: 1
key: 115261, value_count: 1
key: 60456, value_count: 1
key: 85444, value_count: 1
key: 24766, value_count: 1
key: 29199, value_count: 1
key: 31675, value_count: 1
key: 48597, value_count: 1
key: 3913, value_count: 1
key: 15083, value_count: 1
key: 104581, value_count: 1
key: 42349, value_count: 1
key: 88144, value_count: 1
key: 39645, value_count: 1
key: 42038, value_count: 1
key: 120815, value_count: 1
key: 95327, value_count: 1
key: 18674, value_count: 1
key: 83357, value_count: 1
key: 93766, value_count: 1
key: 57586, value_count: 1
key: 55121, value_count: 1
key: 14500, value_count: 1
key: 64386, value_count: 1
key: 22674, value_count: 1
key: 87930, value_count: 1
key: 103085, value_count: 1
key: 21233, value_count: 1
key: 108240, value_count: 1
key: 115404, value_count: 1
key: 96525, value_count: 1
key: 43248, value_count: 1
key: 124922, value_count: 1
key: 19711, value_count: 1
key: 51062, value_count: 1
key: 143, value_count: 1
key: 32952, value_count: 1
key: 18393, value_count: 1
key: 60628, value_count: 1
key: 102566, value_count: 1
key: 46698, value_count: 1
key: 100788, value_count: 1
key: 54440, value_count: 1
key: 73933, value_count: 1
key: 80458, value_count: 1
key: 56986, value_count: 1
key: 104377, value_count: 1
key: 387, value_count: 1
key: 65446, value_count: 1
key: 98370, value_count: 1
key: 96998, value_count: 1
key: 50508, value_count: 1
key: 123642, value_count: 1
key: 100292, value_count: 1
key: 84440, value_count: 1
key: 16144, value_count: 1
key: 96735, value_count: 1
key: 82312, value_count: 1
key: 49251, value_count: 1
key: 69152, value_count: 1
key: 75828, value_count: 1
key: 85218, value_count: 1
key: 41921, value_count: 1
key: 81087, value_count: 1
key: 106021, value_count: 1
key: 124328, value_count: 1
key: 101189, value_count: 1
key: 98891, value_count: 1
key: 98687, value_count: 1
key: 61721, value_count: 1
key: 76275, value_count: 1
key: 37302, value_count: 1
key: 8411, value_count: 1
key: 86333, value_count: 1
key: 65805, value_count: 1
key: 77797, value_count: 1
key: 54474, value_count: 1
key: 20095, value_count: 1
key: 56136, value_count: 1
key: 122364, value_count: 1
key: 1847, value_count: 1
key: 94909, value_count: 1
